latitude,longitude,population
36.3467726,-115.0907378,211925
32.8793526,-117.2311005,389369
33.7500378,-117.8704931,637622
34.3155072,-118.2096814,1474575
38.4732259,-121.2980707,230645
37.2333253,-121.6846349,683532
47.4873376,-121.8622122,361162
37.6090291,-121.899142,483856
37.9034806,-121.9175345,183849
37.5053381,-122.4886034,214801
42.4460009,-71.2880985,187448
40.6524927,-73.7914214,592922
40.6453098,-73.955023,315850
40.7835127,-73.9570852,204434
40.4279708,-74.3963102,203045
38.8156356,-77.2836849,217179
41.8197385,-87.756525,371491
29.8119769,-95.3741247,317740
